merchant_id,country,mcc_code,merchant_tier,acquirer_partner_id,terminal_type,qr_format,cross_border_enabled_date,staff_readiness_true,footfall_index,merchant_cohort_true
M_dcba296c19,IN,7011,T3,ACQ_02,POS,EMVCo,,0.705,2.89,M-3
M_d4253671ba,FOREIGN,5941,T2,ACQ_05,DYNAMIC_QR,EMVCo,2025-07-31,0.751,2.39,M-1
M_817c3b9038,IN,5944,T1,ACQ_02,POS,EMVCo,2024-11-12,0.551,1.91,M-4
M_4255501d59,FOREIGN,5944,T3,ACQ_03,STATIC_QR,EMVCo,,0.92,2.52,M-3
M_187d0b21d1,FOREIGN,5411,T3,ACQ_07,DYNAMIC_QR,EMVCo,2025-09-24,0.785,0.37,M-1
M_60eb9d0cfb,IN,5411,T2,ACQ_06,DYNAMIC_QR,EMVCo,,0.813,2.32,M-3
M_57ddf8169c,FOREIGN,5310,T2,ACQ_02,DYNAMIC_QR,EMVCo,2025-07-15,0.745,2.55,M-1
M_e5ff3189cd,FOREIGN,4111,T2,ACQ_05,POS,EMVCo,2025-09-03,0.74,4.04,M-1
M_f0362e3b20,FOREIGN,5300,T1,ACQ_08,STATIC_QR,EMVCo,2025-03-30,0.18,1.3,M-2
M_fd31190a31,FOREIGN,5812,T2,ACQ_06,STATIC_QR,EMVCo,2024-11-04,0.406,1.47,M-4
M_6d8b14c686,FOREIGN,5999,T2,ACQ_04,POS,EMVCo,2025-12-23,0.726,2.29,M-4
M_09a2b26ce1,FOREIGN,4111,T2,ACQ_05,DYNAMIC_QR,PROPRIETARY,,0.689,1.27,M-3
M_49d7ced96a,FOREIGN,5941,T2,ACQ_07,DYNAMIC_QR,EMVCo,,0.811,7.24,M-3
M_520f0b36a6,FOREIGN,5310,T1,ACQ_05,POS,EMVCo,2025-10-09,0.619,1.08,M-2
M_7c65c04a35,IN,5944,T2,ACQ_03,STATIC_QR,PROPRIETARY,2025-04-12,0.766,5.99,M-4
M_5ddb9e74f7,IN,5944,T3,ACQ_01,STATIC_QR,EMVCo,2025-06-13,0.828,1.91,M-4
M_595204b8de,FOREIGN,5310,T1,ACQ_08,DYNAMIC_QR,PROPRIETARY,2025-12-08,0.273,2.54,M-2
M_7bf0927a9b,IN,5411,T3,ACQ_07,DYNAMIC_QR,EMVCo,2025-03-15,0.739,2.17,M-1
M_72cd8af68e,IN,5310,T3,ACQ_04,STATIC_QR,PROPRIETARY,2026-07-01,0.693,8.4,M-2
M_8fa989e12e,FOREIGN,5310,T3,ACQ_07,DYNAMIC_QR,EMVCo,2026-07-29,0.386,4.29,M-2
M_3d21f1cab1,IN,8062,T2,ACQ_08,POS,EMVCo,2026-07-25,0.795,1.61,M-1
M_ec01b1f8e8,FOREIGN,4111,T3,ACQ_06,POS,EMVCo,,0.842,1.81,M-3
M_0578ccc98c,IN,8062,T1,ACQ_04,DYNAMIC_QR,EMVCo,2025-02-20,0.717,3.81,M-4
M_f800d591cd,FOREIGN,4111,T3,ACQ_02,DYNAMIC_QR,PROPRIETARY,2026-03-12,0.918,3.77,M-4
M_85c60ccd9c,FOREIGN,8062,T1,ACQ_01,DYNAMIC_QR,EMVCo,2026-07-03,0.877,3.05,M-5
M_22948a7ff8,FOREIGN,5812,T2,ACQ_04,STATIC_QR,EMVCo,2025-09-16,0.362,3.27,M-2
M_d9c5d6799d,FOREIGN,8099,T3,ACQ_04,DYNAMIC_QR,EMVCo,2026-06-29,0.902,2.9,M-1
M_99e22eff7e,FOREIGN,8220,T3,ACQ_03,STATIC_QR,EMVCo,2026-03-25,0.916,2.46,M-4
M_f505f2135b,IN,5300,T1,ACQ_05,STATIC_QR,PROPRIETARY,2026-07-02,0.837,4.1,M-4
M_af2997133e,FOREIGN,7991,T1,ACQ_02,POS,EMVCo,,0.628,5.93,M-3
M_18b80a98a6,IN,5812,T2,ACQ_02,DYNAMIC_QR,EMVCo,2026-07-19,0.183,0.38,M-2
M_d2e520a6f3,FOREIGN,5999,T1,ACQ_02,POS,EMVCo,,0.885,6.17,M-3
M_82b757aa54,FOREIGN,5812,T3,ACQ_02,DYNAMIC_QR,EMVCo,,0.716,4.11,M-3
M_d31d2bb2bc,FOREIGN,5941,T2,ACQ_06,DYNAMIC_QR,EMVCo,2025-01-16,0.723,5.31,M-2
M_ad739bbffd,FOREIGN,5944,T1,ACQ_04,STATIC_QR,EMVCo,2026-06-04,0.894,2.62,M-1
M_9fe96caa3f,FOREIGN,5941,T3,ACQ_02,STATIC_QR,EMVCo,2025-07-17,0.836,8.84,M-1
M_6ac4baf886,FOREIGN,5941,T2,ACQ_06,POS,EMVCo,2025-08-23,0.805,1.74,M-4
M_1443aeb757,IN,5309,T2,ACQ_04,STATIC_QR,EMVCo,2025-01-17,0.663,2.19,M-2
M_5b29f97213,FOREIGN,8099,T2,ACQ_04,STATIC_QR,EMVCo,2025-07-17,0.458,3.24,M-2
M_8c4a1f7abd,FOREIGN,8062,T2,ACQ_06,STATIC_QR,EMVCo,,0.697,4.2,M-3
M_f02177530b,FOREIGN,5300,T2,ACQ_02,DYNAMIC_QR,EMVCo,,0.411,6.59,M-3
M_32485e1fee,IN,5999,T3,ACQ_04,STATIC_QR,EMVCo,,0.925,1.81,M-3
M_fc292fd620,IN,7991,T2,ACQ_03,DYNAMIC_QR,EMVCo,,0.709,11.4,M-3
M_7e77fedf42,IN,5310,T2,ACQ_04,DYNAMIC_QR,EMVCo,2026-06-19,0.433,1.23,M-1
M_e7b9d7ec02,IN,5999,T2,ACQ_04,DYNAMIC_QR,PROPRIETARY,,0.708,4.65,M-3
M_35f0c29188,IN,5300,T3,ACQ_03,DYNAMIC_QR,EMVCo,2026-06-19,0.861,7.57,M-1
M_f4f780d62a,FOREIGN,7011,T2,ACQ_03,POS,EMVCo,2025-04-03,0.687,3.4,M-4
M_d0af07c110,IN,5309,T2,ACQ_02,STATIC_QR,EMVCo,,0.99,2.41,M-3
M_70158d74e0,FOREIGN,5309,T2,ACQ_05,DYNAMIC_QR,EMVCo,2025-10-01,0.668,6.08,M-1
M_c4b319e32f,FOREIGN,5300,T1,ACQ_01,STATIC_QR,EMVCo,2026-06-18,0.75,1.72,M-1
M_95e79e5935,FOREIGN,5812,T2,ACQ_03,ECOM_SDK,EMVCo,2026-05-03,0.808,1.64,M-4
M_1ad054a0ec,FOREIGN,5944,T2,ACQ_06,STATIC_QR,EMVCo,2025-05-22,0.804,1.1,M-4
M_ffd2b8b006,FOREIGN,7011,T3,ACQ_03,DYNAMIC_QR,EMVCo,2025-11-19,0.231,5.15,M-2
M_54401f6a64,FOREIGN,4111,T1,ACQ_04,STATIC_QR,PROPRIETARY,,0.859,4.35,M-3
M_6848c9beef,FOREIGN,8062,T1,ACQ_07,DYNAMIC_QR,PROPRIETARY,2024-10-07,0.742,1.76,M-2
M_9b0983be0f,FOREIGN,8099,T2,ACQ_07,POS,EMVCo,2025-03-09,0.512,0.37,M-1
M_e2264b30e9,FOREIGN,4111,T2,ACQ_05,STATIC_QR,EMVCo,2024-09-10,0.663,1.95,M-1
M_5460ae6e6f,FOREIGN,8099,T3,ACQ_01,POS,EMVCo,,0.874,0.56,M-3
M_ba6bc75d08,FOREIGN,7011,T2,ACQ_02,DYNAMIC_QR,EMVCo,,0.627,6.98,M-3
M_27f0c61147,FOREIGN,8220,T3,ACQ_01,STATIC_QR,PROPRIETARY,2026-06-12,0.343,4.38,M-2
M_dbe27eb184,IN,5812,T2,ACQ_08,POS,EMVCo,2024-08-29,0.79,0.56,M-4
M_c48292cc7b,IN,7011,T1,ACQ_02,STATIC_QR,EMVCo,2024-11-29,0.862,3.07,M-1
M_c2b2a49ebb,FOREIGN,5411,T3,ACQ_02,DYNAMIC_QR,EMVCo,2024-10-06,0.864,2.26,M-4
M_5437b3d90d,FOREIGN,5309,T3,ACQ_08,STATIC_QR,EMVCo,2026-05-29,0.169,5.67,M-2
M_bc44a18ad9,IN,5999,T3,ACQ_04,POS,PROPRIETARY,2026-01-05,0.748,3.31,M-1
M_4680f5e3bd,FOREIGN,5300,T2,ACQ_08,POS,PROPRIETARY,2026-03-18,0.419,0.5,M-2
M_fefbeee0c2,FOREIGN,5812,T1,ACQ_03,DYNAMIC_QR,EMVCo,,0.474,1.01,M-3
M_abbd0f366d,FOREIGN,7991,T1,ACQ_07,DYNAMIC_QR,EMVCo,2025-01-21,0.779,5.29,M-1
M_4e8ef93286,FOREIGN,5310,T3,ACQ_02,POS,PROPRIETARY,2026-05-26,0.684,0.82,M-2
M_739d3f5dae,FOREIGN,7991,T1,ACQ_06,DYNAMIC_QR,EMVCo,2025-11-16,0.687,0.96,M-1
M_395b7c8d8b,FOREIGN,7011,T2,ACQ_07,ECOM_SDK,EMVCo,2025-06-07,0.745,5.66,M-4
M_ecb648eecd,FOREIGN,8099,T2,ACQ_01,DYNAMIC_QR,EMVCo,2025-04-12,0.352,0.21,M-2
M_aa7a894dca,IN,5944,T2,ACQ_08,POS,EMVCo,2025-10-29,0.815,1.4,M-1
M_37f62423c8,FOREIGN,5300,T2,ACQ_06,DYNAMIC_QR,EMVCo,2025-05-30,0.417,1.98,M-2
M_5d5e185b71,IN,8220,T1,ACQ_03,STATIC_QR,EMVCo,,0.678,1.11,M-3
M_0453bd5d69,FOREIGN,5310,T3,ACQ_07,POS,EMVCo,2025-04-25,0.695,1.79,M-1
M_b30af22574,FOREIGN,5941,T2,ACQ_06,ECOM_SDK,EMVCo,2025-12-09,0.785,0.51,M-2
M_163544291f,FOREIGN,7011,T1,ACQ_04,DYNAMIC_QR,EMVCo,,0.974,4.03,M-3
M_59d3cbc24e,FOREIGN,5999,T1,ACQ_03,DYNAMIC_QR,EMVCo,2026-02-04,0.893,1.22,M-4
M_a240d13f58,FOREIGN,5944,T2,ACQ_04,STATIC_QR,EMVCo,2026-03-05,0.707,11.91,M-4
M_42dcd0b0f8,FOREIGN,8220,T3,ACQ_08,DYNAMIC_QR,EMVCo,2026-07-25,0.843,4.73,M-1
M_1aeeb302de,IN,8099,T1,ACQ_06,POS,EMVCo,2025-06-06,0.925,3.61,M-1
M_302f8753ab,FOREIGN,7991,T1,ACQ_03,POS,EMVCo,,0.855,0.62,M-3
M_47fa98fc10,FOREIGN,5812,T2,ACQ_08,POS,EMVCo,2025-11-19,0.589,2.69,M-4
M_6c101e5972,FOREIGN,5999,T2,ACQ_05,DYNAMIC_QR,EMVCo,2026-06-17,0.618,2.95,M-4
M_f507c04755,FOREIGN,5309,T2,ACQ_04,STATIC_QR,PROPRIETARY,,0.876,3.6,M-3
M_0ee655aec4,FOREIGN,7991,T2,ACQ_04,DYNAMIC_QR,PROPRIETARY,2025-10-08,0.874,3.77,M-1
M_f3bfa63da2,FOREIGN,5411,T1,ACQ_07,STATIC_QR,EMVCo,2025-07-11,0.82,4.71,M-4
M_200a10716e,FOREIGN,8099,T2,ACQ_01,STATIC_QR,EMVCo,2025-12-27,0.773,1.53,M-4
M_0642121af9,FOREIGN,5310,T2,ACQ_08,STATIC_QR,EMVCo,2025-06-24,0.835,0.4,M-1
M_a2b39c4d45,FOREIGN,5309,T2,ACQ_04,STATIC_QR,EMVCo,2024-10-10,0.842,3.17,M-1
M_ae27e4a66f,FOREIGN,5309,T2,ACQ_08,STATIC_QR,EMVCo,,0.564,1.81,M-3
M_c3eaa17dcf,FOREIGN,5310,T2,ACQ_01,ECOM_SDK,EMVCo,2025-08-11,0.949,0.43,M-1
M_ea33818150,FOREIGN,4111,T2,ACQ_03,DYNAMIC_QR,EMVCo,2025-10-09,0.9,5.51,M-5
M_752816460f,FOREIGN,8062,T2,ACQ_01,DYNAMIC_QR,EMVCo,,0.705,4.43,M-3
M_2930d8d84c,FOREIGN,8099,T3,ACQ_05,POS,EMVCo,2024-09-07,0.85,2.7,M-1
M_8a26bab94e,IN,5812,T3,ACQ_07,DYNAMIC_QR,PROPRIETARY,2026-01-13,0.868,2.67,M-4
M_a34951e0ef,FOREIGN,5310,T2,ACQ_03,POS,EMVCo,2026-05-09,0.756,0.77,M-1
M_6abe7456c6,IN,5411,T2,ACQ_06,STATIC_QR,PROPRIETARY,2025-01-09,0.641,2.46,M-4
M_cfd1a8e1a0,FOREIGN,7011,T1,ACQ_06,POS,PROPRIETARY,2025-03-18,0.864,5.42,M-1
M_d9fd6302c2,FOREIGN,5812,T2,ACQ_05,DYNAMIC_QR,EMVCo,2025-01-27,0.556,2.35,M-2
M_915dd14bab,FOREIGN,5944,T2,ACQ_07,DYNAMIC_QR,EMVCo,2026-04-14,0.676,1.3,M-4
M_4f6595e6bf,FOREIGN,8220,T2,ACQ_02,DYNAMIC_QR,EMVCo,2026-01-12,0.487,0.85,M-2
M_383b2b5a86,IN,5310,T1,ACQ_08,DYNAMIC_QR,EMVCo,2025-04-20,0.606,6.16,M-4
M_1cf78f70c1,FOREIGN,5411,T3,ACQ_08,DYNAMIC_QR,EMVCo,2025-06-24,0.952,3.23,M-2
M_9d451237ef,FOREIGN,5300,T3,ACQ_04,DYNAMIC_QR,EMVCo,2025-11-24,0.961,4.24,M-4
M_f47ebec54f,FOREIGN,8062,T1,ACQ_08,STATIC_QR,PROPRIETARY,2024-11-05,0.582,2.47,M-1
M_5ff9bdab38,IN,5812,T3,ACQ_02,DYNAMIC_QR,EMVCo,2024-10-22,0.488,0.7,M-4
M_3c82edb57d,FOREIGN,5310,T2,ACQ_05,STATIC_QR,PROPRIETARY,2024-10-30,0.645,4.45,M-1
M_4424c17aa0,FOREIGN,5999,T1,ACQ_04,STATIC_QR,PROPRIETARY,2026-01-22,0.627,7.48,M-4
M_6e0850197c,FOREIGN,8099,T1,ACQ_01,DYNAMIC_QR,EMVCo,,0.85,8.88,M-3
M_2d8ce6a5b1,FOREIGN,5310,T2,ACQ_05,DYNAMIC_QR,EMVCo,2026-04-26,0.688,5.7,M-4
M_f1e8588ffc,FOREIGN,7011,T1,ACQ_02,STATIC_QR,PROPRIETARY,2025-06-26,0.241,2.4,M-2
M_fb250bef7f,FOREIGN,7991,T3,ACQ_03,POS,EMVCo,2026-05-20,0.861,0.41,M-1
M_3e07d28eed,IN,8220,T3,ACQ_05,DYNAMIC_QR,PROPRIETARY,2026-01-13,0.325,6.01,M-2
M_761c3b1646,FOREIGN,8220,T3,ACQ_07,DYNAMIC_QR,EMVCo,2025-03-09,0.82,5.59,M-1
M_97f062bc93,FOREIGN,5999,T2,ACQ_01,STATIC_QR,EMVCo,2025-07-30,0.437,2.34,M-2
M_2633257141,IN,7011,T3,ACQ_03,POS,EMVCo,2024-10-30,0.76,4.74,M-1
M_6f24909dfa,FOREIGN,8099,T2,ACQ_02,DYNAMIC_QR,EMVCo,2025-05-13,0.505,2.46,M-4
M_26c02bbc9e,IN,5309,T2,ACQ_02,DYNAMIC_QR,PROPRIETARY,2025-07-17,0.528,1.73,M-2
M_b8840d570a,FOREIGN,7991,T2,ACQ_05,DYNAMIC_QR,EMVCo,2024-09-05,0.865,3.4,M-1
M_fdb127e9fb,FOREIGN,5300,T1,ACQ_07,STATIC_QR,PROPRIETARY,2025-11-22,0.61,5.52,M-4
M_d618ab8c5f,FOREIGN,5941,T3,ACQ_07,STATIC_QR,EMVCo,2026-02-18,0.318,3.76,M-2
M_da0dc6ff9c,IN,8099,T1,ACQ_05,STATIC_QR,EMVCo,2025-04-05,0.947,3.05,M-1
M_7126ba81a6,FOREIGN,5944,T3,ACQ_03,STATIC_QR,EMVCo,2025-05-21,0.768,11.23,M-4
M_bad5924041,IN,5944,T3,ACQ_03,DYNAMIC_QR,EMVCo,,0.911,2.59,M-3
M_8cc228c792,FOREIGN,5309,T1,ACQ_01,STATIC_QR,PROPRIETARY,2025-03-31,0.736,4.7,M-1
M_1e390f515e,FOREIGN,5309,T1,ACQ_03,POS,EMVCo,2024-11-28,0.732,1.91,M-1
M_a07e597428,FOREIGN,5300,T2,ACQ_07,DYNAMIC_QR,EMVCo,2025-02-15,0.895,5.48,M-1
M_772f8cb971,FOREIGN,5300,T2,ACQ_08,DYNAMIC_QR,EMVCo,2025-09-07,0.4,2.16,M-4
M_a0b7ecc5fa,IN,5411,T3,ACQ_06,POS,EMVCo,2025-05-01,0.371,0.53,M-2
M_1b532bb85f,FOREIGN,8220,T2,ACQ_02,STATIC_QR,EMVCo,2025-02-09,0.5,3.93,M-2
M_b97137834b,FOREIGN,5310,T2,ACQ_03,DYNAMIC_QR,EMVCo,2024-12-02,0.473,1.69,M-4
M_85c601aec8,IN,8099,T3,ACQ_08,ECOM_SDK,EMVCo,2026-04-11,0.576,0.84,M-2
M_2e53d5316b,FOREIGN,4111,T3,ACQ_04,DYNAMIC_QR,EMVCo,,0.199,5.77,M-3
M_d10ccc18d8,IN,5309,T2,ACQ_08,DYNAMIC_QR,EMVCo,,0.503,5.3,M-3
M_0f030984d2,IN,4111,T2,ACQ_03,DYNAMIC_QR,PROPRIETARY,2024-10-04,0.488,1.6,M-2
M_1cce69eba3,FOREIGN,7991,T2,ACQ_03,DYNAMIC_QR,EMVCo,,0.526,3.24,M-3
M_239db9385a,IN,8099,T3,ACQ_06,POS,EMVCo,2025-09-23,0.886,2.6,M-4
M_f7e7c5b01f,IN,5999,T2,ACQ_07,DYNAMIC_QR,EMVCo,,0.778,1.29,M-3
M_a976349734,IN,8062,T1,ACQ_05,DYNAMIC_QR,EMVCo,2024-11-28,0.913,1.17,M-1
M_05f090730a,FOREIGN,5812,T1,ACQ_05,POS,PROPRIETARY,,0.696,1.39,M-3
M_b013d0f4c6,FOREIGN,5300,T3,ACQ_04,STATIC_QR,EMVCo,2024-11-20,0.596,3.11,M-4
M_4ac9fb8aef,IN,5310,T1,ACQ_06,DYNAMIC_QR,EMVCo,2025-09-24,0.826,0.39,M-4
M_daa811b413,FOREIGN,5941,T2,ACQ_03,POS,EMVCo,2026-07-29,0.651,1.02,M-1
M_d73d731875,IN,4111,T3,ACQ_08,STATIC_QR,EMVCo,2025-07-16,0.704,3.53,M-1
M_f2488075a8,FOREIGN,7011,T2,ACQ_06,DYNAMIC_QR,EMVCo,2025-04-06,0.826,0.24,M-4
M_e9fee2694e,FOREIGN,5944,T3,ACQ_02,POS,PROPRIETARY,2025-05-02,0.76,2.68,M-1
M_0b179bb953,FOREIGN,8099,T1,ACQ_06,ECOM_SDK,EMVCo,,0.904,1.37,M-3
M_759a252ade,IN,8062,T2,ACQ_06,DYNAMIC_QR,EMVCo,2025-11-29,0.703,0.69,M-1
M_daebae7c7f,FOREIGN,7991,T2,ACQ_01,DYNAMIC_QR,EMVCo,2026-07-10,0.835,1.26,M-1
M_05a0917dc8,FOREIGN,5812,T2,ACQ_05,DYNAMIC_QR,PROPRIETARY,2026-07-24,0.634,3.18,M-4
M_d0945aadb4,FOREIGN,5941,T3,ACQ_03,DYNAMIC_QR,EMVCo,2025-09-15,0.625,1.34,M-1
M_d0c7e375a1,IN,5941,T3,ACQ_06,DYNAMIC_QR,EMVCo,2026-03-21,0.887,2.5,M-1
M_f31f19b0a7,FOREIGN,5300,T3,ACQ_04,DYNAMIC_QR,EMVCo,2026-02-25,0.206,0.48,M-2
M_f0953dbc80,FOREIGN,7991,T2,ACQ_06,DYNAMIC_QR,EMVCo,2024-09-24,0.929,2.9,M-1
M_9644543d8a,FOREIGN,5300,T2,ACQ_06,DYNAMIC_QR,EMVCo,2025-01-29,0.727,2.57,M-1
M_a186e23ae2,FOREIGN,5411,T2,ACQ_06,DYNAMIC_QR,EMVCo,,0.934,0.16,M-3
M_1ce12f7c51,FOREIGN,5941,T3,ACQ_04,DYNAMIC_QR,EMVCo,2025-11-11,0.783,1.45,M-1
M_c7dc9af435,FOREIGN,5411,T2,ACQ_05,DYNAMIC_QR,EMVCo,2025-11-20,0.968,0.89,M-4
M_acf351692a,FOREIGN,5944,T2,ACQ_08,STATIC_QR,PROPRIETARY,,0.807,2.74,M-3
M_c90c00da13,FOREIGN,5999,T2,ACQ_06,DYNAMIC_QR,EMVCo,2025-03-12,0.822,3.08,M-4
M_b12accab13,FOREIGN,5309,T2,ACQ_02,DYNAMIC_QR,EMVCo,2025-12-06,0.728,2.25,M-2
M_8cfd6ca0f5,FOREIGN,5812,T1,ACQ_07,STATIC_QR,EMVCo,2024-12-21,0.697,8.18,M-1
M_6f58e55761,FOREIGN,5300,T2,ACQ_03,STATIC_QR,EMVCo,,0.848,1.36,M-3
M_55016c52f8,IN,7991,T1,ACQ_01,DYNAMIC_QR,PROPRIETARY,2024-12-13,0.432,1.27,M-1
M_4487bfabeb,FOREIGN,8062,T2,ACQ_05,DYNAMIC_QR,EMVCo,2025-11-15,0.793,4.23,M-1
M_2401ab0061,FOREIGN,5944,T2,ACQ_04,POS,EMVCo,,0.862,17.31,M-3
M_c2a3bc2f49,FOREIGN,8220,T2,ACQ_05,DYNAMIC_QR,PROPRIETARY,2025-03-27,0.674,4.71,M-4
M_c4649dae05,FOREIGN,8220,T1,ACQ_05,DYNAMIC_QR,PROPRIETARY,2025-06-07,0.732,2.03,M-1
M_8357d06c48,IN,5812,T2,ACQ_08,DYNAMIC_QR,EMVCo,2026-06-22,0.861,1.08,M-1
M_41d6c20f26,FOREIGN,5944,T2,ACQ_02,POS,PROPRIETARY,2025-06-23,0.578,1.48,M-4
M_491cd62bde,FOREIGN,5812,T2,ACQ_06,DYNAMIC_QR,EMVCo,2024-10-11,0.229,7.18,M-4
M_cc959cc480,FOREIGN,7011,T3,ACQ_07,DYNAMIC_QR,EMVCo,,0.895,3.23,M-3
M_989aabfa87,IN,5941,T2,ACQ_05,POS,EMVCo,2024-10-31,0.821,3.13,M-4
M_2d1fe76d15,IN,4111,T2,ACQ_04,POS,PROPRIETARY,2025-06-20,0.713,5.16,M-4
M_8c98b098dd,IN,5309,T3,ACQ_08,DYNAMIC_QR,EMVCo,2024-12-17,0.91,1.25,M-4
M_ae46b7f0f9,FOREIGN,5300,T1,ACQ_07,STATIC_QR,EMVCo,,0.86,1.72,M-3
M_af5ce4261f,IN,8220,T1,ACQ_06,DYNAMIC_QR,PROPRIETARY,2024-10-26,0.55,1.4,M-4
M_115dd1bd51,FOREIGN,5999,T3,ACQ_01,DYNAMIC_QR,PROPRIETARY,,0.726,1.61,M-3
M_198486d8e2,FOREIGN,5812,T2,ACQ_05,POS,EMVCo,,0.818,1.92,M-3
M_8ced962566,FOREIGN,8062,T2,ACQ_03,STATIC_QR,EMVCo,2026-05-29,0.225,4.07,M-2
M_91faf05507,FOREIGN,5999,T1,ACQ_03,DYNAMIC_QR,EMVCo,2024-08-28,0.812,5.3,M-4
M_bab3894815,IN,5812,T3,ACQ_06,STATIC_QR,EMVCo,,0.704,3.81,M-3
M_5ceccd32c6,FOREIGN,4111,T2,ACQ_01,DYNAMIC_QR,EMVCo,2025-03-22,0.53,1.76,M-1
M_8d6059e929,FOREIGN,5309,T2,ACQ_04,DYNAMIC_QR,EMVCo,2026-07-11,0.702,3.93,M-4
M_c936512d41,FOREIGN,8220,T1,ACQ_01,ECOM_SDK,EMVCo,2024-10-24,0.918,1.15,M-4
M_cd38171726,FOREIGN,5999,T3,ACQ_01,DYNAMIC_QR,EMVCo,2024-09-25,0.612,4.28,M-4
M_080ee806ca,FOREIGN,5999,T2,ACQ_06,ECOM_SDK,EMVCo,2025-05-22,0.329,0.92,M-2
M_673a0e8366,FOREIGN,8099,T2,ACQ_05,STATIC_QR,PROPRIETARY,2026-06-11,0.76,0.46,M-1
M_c22a2568bc,FOREIGN,5310,T2,ACQ_04,POS,EMVCo,2024-08-31,0.381,0.18,M-2
M_ef15512959,FOREIGN,4111,T1,ACQ_03,DYNAMIC_QR,EMVCo,2026-04-09,0.847,4.19,M-1
M_602c9217ac,IN,5944,T1,ACQ_05,POS,EMVCo,,0.708,4.4,M-3
M_a723f7ccbf,FOREIGN,7991,T2,ACQ_01,DYNAMIC_QR,PROPRIETARY,,0.715,0.89,M-3
M_c2f6feb2bb,FOREIGN,5309,T1,ACQ_08,STATIC_QR,PROPRIETARY,2024-12-09,0.733,1.83,M-4
M_849a415ca5,IN,5300,T3,ACQ_06,STATIC_QR,EMVCo,2025-12-24,0.646,0.68,M-4
M_737ec8afd5,IN,7011,T1,ACQ_04,POS,EMVCo,2025-01-30,0.651,0.26,M-1
M_5e3edf2f27,IN,5310,T2,ACQ_01,STATIC_QR,EMVCo,2024-11-21,0.725,3.97,M-4
M_5086015162,IN,8220,T1,ACQ_04,POS,EMVCo,2026-04-23,0.618,1.0,M-1
M_1f417cbbf8,FOREIGN,7991,T2,ACQ_07,DYNAMIC_QR,PROPRIETARY,2025-02-24,0.803,8.94,M-4
M_48eed1fff6,FOREIGN,5941,T2,ACQ_05,DYNAMIC_QR,PROPRIETARY,2024-11-13,0.848,2.48,M-4
M_69afdafd04,FOREIGN,5411,T2,ACQ_06,STATIC_QR,PROPRIETARY,2024-10-01,0.265,3.47,M-2
M_9111e965d9,FOREIGN,8062,T2,ACQ_04,DYNAMIC_QR,PROPRIETARY,2026-03-20,0.851,1.66,M-4
M_c1e215a3aa,FOREIGN,8062,T2,ACQ_04,POS,PROPRIETARY,,0.617,0.09,M-3
M_4cbf865cee,FOREIGN,5812,T2,ACQ_05,DYNAMIC_QR,PROPRIETARY,,0.526,0.3,M-3
M_362650ba8f,FOREIGN,5300,T3,ACQ_08,STATIC_QR,EMVCo,2026-06-20,0.942,2.83,M-4
M_595556da61,IN,5310,T2,ACQ_02,DYNAMIC_QR,EMVCo,2025-10-30,0.761,3.09,M-1
M_2e22914a17,FOREIGN,7011,T1,ACQ_05,DYNAMIC_QR,PROPRIETARY,2025-10-22,0.15,2.92,M-2
M_f8f115a0a1,FOREIGN,7991,T1,ACQ_04,STATIC_QR,PROPRIETARY,2026-05-20,0.814,8.85,M-4
M_2b2c12db5c,FOREIGN,5309,T3,ACQ_02,DYNAMIC_QR,EMVCo,2025-03-11,0.513,5.0,M-1
M_005b8a18e9,FOREIGN,5999,T2,ACQ_07,DYNAMIC_QR,EMVCo,,0.911,1.12,M-3
M_b3ad4e4b84,FOREIGN,5310,T2,ACQ_01,STATIC_QR,EMVCo,,0.596,8.91,M-3
M_2932ced081,IN,5300,T2,ACQ_08,DYNAMIC_QR,EMVCo,,0.825,4.62,M-3
M_b0b26c1194,IN,5941,T1,ACQ_06,DYNAMIC_QR,EMVCo,2026-06-05,0.882,2.78,M-1
M_0040022d0d,FOREIGN,7011,T2,ACQ_07,STATIC_QR,EMVCo,2025-01-22,0.889,3.68,M-4
M_5264be3ace,IN,5309,T2,ACQ_03,DYNAMIC_QR,PROPRIETARY,2025-08-02,0.688,2.75,M-1
M_cf5b609d6d,FOREIGN,8062,T3,ACQ_08,DYNAMIC_QR,EMVCo,2024-08-26,0.958,0.21,M-4
M_94885656f4,FOREIGN,5309,T3,ACQ_08,DYNAMIC_QR,EMVCo,2026-02-06,0.71,1.78,M-1
M_f325453b90,IN,5309,T2,ACQ_03,DYNAMIC_QR,EMVCo,,0.82,2.16,M-3
M_ccfe06653d,FOREIGN,5812,T3,ACQ_02,POS,EMVCo,2024-08-28,0.963,2.79,M-1
M_c9afb41e1a,IN,5999,T1,ACQ_01,DYNAMIC_QR,EMVCo,,0.742,7.98,M-3
M_80dfe59ed1,FOREIGN,5300,T1,ACQ_05,DYNAMIC_QR,EMVCo,2025-04-29,0.914,1.78,M-4
M_ed40628c93,FOREIGN,5411,T1,ACQ_07,DYNAMIC_QR,EMVCo,2025-03-27,0.569,2.59,M-1
M_09414493a8,FOREIGN,5300,T3,ACQ_02,STATIC_QR,EMVCo,2026-07-30,0.641,0.62,M-4
M_7a226450ac,FOREIGN,8062,T2,ACQ_02,POS,EMVCo,2026-05-14,0.898,2.45,M-4
M_7f5eb11587,FOREIGN,5812,T1,ACQ_05,DYNAMIC_QR,EMVCo,2026-03-16,0.832,4.11,M-1
